Isolate ID	Host Species	Year	Sampling Location
12754_8#94	PORCINE	2001	New Zealand: MARLBOROUGH
12754_7#92	BOVINE	1996	New Zealand: AUCKLAND
12755_8#25	BOVINE	2013	New Zealand: Northland
12754_8#73	BOVINE	2000	New Zealand: BLENHEIM
AgR305	BOVINE	2008	New Zealand: NORTHCANT.
AgR150	CERVINE	1988	New Zealand: MACKENZIECOUNTRY
12754_8#18	POSSUM	2001	New Zealand: MARLBOROUGH
12754_7#14	BOVINE	1998	New Zealand: TAUPO
12754_7#91	BOVINE	1999	New Zealand: NAPIER
12755_8#12	BOVINE	2009	New Zealand: NORTH CANT.
12754_8#47	FERRET	2003	New Zealand: MARLBOROUGH
12755_8#7	BOVINE	2006	New Zealand: KAIKOURA
12754_8#69	FERRET	2002	New Zealand: MARLBOROUGH
12754_8#2	BOVINE	2008	New Zealand: TAIHAPE
AgR269	BOVINE	2008	New Zealand: WESTCOAST
AgR250	BOVINE	2006	New Zealand: WESTCOAST
12754_7#45	BOVINE	1996	New Zealand: WANGANUI
12754_8#82	STOAT	2005	New Zealand: CANTERBURY
AgR222	BOVINE	1987	New Zealand: MACKENZIECOUNTRY
12754_7#4	BOVINE	1994	New Zealand: EAST COAST
12754_8#44	PORCINE	2001	New Zealand: BLENHEIM
12754_8#36	FERRET	1993	New Zealand: NORTH CANT.
AgR238	BOVINE	2011	New Zealand: WESTCOAST
AgR254	BOVINE	2010	New Zealand: WESTCOAST
12754_8#62	FERRET	2004	New Zealand: SOUTHLAND
AgR275	BOVINE	2007	New Zealand: WESTCOAST
12755_8#3	BOVINE	2010	New Zealand: CANTERBURY
12754_7#72	POSSUM	1985	New Zealand: BANKS PENINSULA
12754_8#65	FERRET	2002	New Zealand: BLENHEIM
N28	POSSUM	2012	New Zealand: WESTCOAST
AgR202	POSSUM	1982	New Zealand: WESTCOAST
12754_8#57	BOVINE	2005	New Zealand: BLENHEIM
12755_8#18	BOVINE	2009	New Zealand: CANTERBURY
AgR225	FERRET	1997	New Zealand: MACKENZIECOUNTRY
AgR274	BOVINE	2006	New Zealand: WESTCOAST
12754_7#41	BOVINE	2008	New Zealand: HAWKES BAY
12754_7#56	FERRET	1996	New Zealand: MANAWATU
AgR281	POSSUM	1992	New Zealand: WESTCOAST
12754_8#59	BOVINE	2005	New Zealand: NORTH CANT.
N29	BOVINE	2013	New Zealand: TARANAKI
12754_7#85	BOVINE	1998	New Zealand: OTAGO
12754_8#26	PORCINE	1992	New Zealand: SOUTHLAND
12754_7#50	FERRET	2004	New Zealand: TAUPO
12754_7#63	BOVINE	2000	New Zealand: TAUPO
12754_7#57	BOVINE	1996	New Zealand: WAIKATO
12754_7#68	POSSUM	1998	New Zealand: TAUPO
12754_7#88	FERRET	2007	New Zealand: TAIHAPE
AgR244	BOVINE	2011	New Zealand: WESTCOAST
AgR314	BOVINE	2006	New Zealand: WESTCOAST
12755_8#2	BOVINE	2007	New Zealand: NORTH CANT.
AgR136	BOVINE	1991	New Zealand: MACKENZIECOUNTRY
12754_8#89	BOVINE	1999	New Zealand: KAIKOURA
N47	BOVINE	2013	New Zealand: TARANAKI
AgR270	BOVINE	2002	New Zealand: WESTCOAST
12754_8#21	BOVINE	1993	New Zealand: NORTH CANT.
12754_7#17	BOVINE	2003	New Zealand: HAWKES BAY
12754_7#60	BOVINE	2002	New Zealand: HAWKES BAY
12754_7#35	FERRET	2003	New Zealand: HAWKES BAY
12754_8#40	BOVINE	1994	New Zealand: BLENHEIM
12754_8#58	BOVINE	2002	New Zealand: SOUTHLAND
12754_8#75	CERVINE	2003	New Zealand: NORTH CANT.
N16	BOVINE	2009	New Zealand: TARANAKI
12754_7#48	POSSUM	2000	New Zealand: OTAGO
N53	BOVINE	2013	New Zealand: WESTCOAST
N38	BOVINE	2013	New Zealand: TARANAKI
AgR262	BOVINE	2005	New Zealand: WESTCOAST
AgR242	BOVINE	2007	New Zealand: WESTCOAST
12754_7#53	BOVINE	1994	New Zealand: OTAGO
12754_7#25	BOVINE	1998	New Zealand: TAUPO
12754_7#43	BOVINE	2006	New Zealand: HAWKES BAY
12754_8#85	CERVINE	1993	New Zealand: NORTH CANT.
12754_7#94	CERVINE	1997	New Zealand: OTAGO
12754_8#7	CERVINE	1992	New Zealand: OTAGO
12754_8#39	FERRET	2001	New Zealand: BLENHEIM
AgR303	BOVINE	1989	New Zealand: WESTCOAST
12754_7#67	BOVINE	2000	New Zealand: HAWKES BAY
12754_8#28	BOVINE	1999	New Zealand: SOUTHLAND
12754_8#14	PORCINE	1992	New Zealand: BLENHEIM
12754_8#31	PORCINE	1987	New Zealand: KAIKOURA
N23	BOVINE	2013	New Zealand: TARANAKI
12754_7#1	POSSUM	1988	New Zealand: KING COUNTRY
AgR236	CERVINE	1994	New Zealand: WESTCOAST
12754_7#23	BOVINE	2005	New Zealand: TAUPO
12754_7#81	BOVINE	2005	New Zealand: OTAGO
12754_8#53	BOVINE	1999	New Zealand: NORTH CANT.
12754_8#79	FERRET	1999	New Zealand: CANTERBURY
12755_8#8	BOVINE	2005	New Zealand: NORTH CANT.
12754_7#36	BOVINE	2002	New Zealand: KAITANGATA
12754_8#4	POSSUM	1992	New Zealand: SOUTHLAND
AgR227	CERVINE	2001	New Zealand: WESTCOAST
AgR239	POSSUM	2002	New Zealand: WESTCOAST
AgR261	BOVINE	2005	New Zealand: WESTCOAST
12754_8#87	BOVINE	2005	New Zealand: KAIKOURA
12755_8#11	BOVINE	2007	New Zealand: SOUTHLAND
AgR306	POSSUM	2006	New Zealand: WESTCOAST
12754_8#46	FERRET	1993	New Zealand: NORTH CANT.
12754_8#1	BOVINE	2007	New Zealand: TAIHAPE
AgR309	BOVINE	2008	New Zealand: KAIKOURA
AgR282	PORCINE	2004	New Zealand: WESTCOAST
12755_8#24	BOVINE	2006	New Zealand: Waikato
12754_8#71	FERRET	1996	New Zealand: NORTH CANT.
AgR111	POSSUM	1987	New Zealand: MACKENZIECOUNTRY
AgR253	BOVINE	2005	New Zealand: WESTCOAST
12754_7#15	BOVINE	1998	New Zealand: KING COUNTRY
12755_8#23	BOVINE	2006	New Zealand: Waikato
12754_7#39	BOVINE	2002	New Zealand: HAWKES BAY
12754_7#62	BOVINE	1999	New Zealand: OTAGO
12754_8#43	FERRET	2002	New Zealand: BLENHEIM
12754_7#44	BOVINE	2001	New Zealand: HAWKES BAY
12754_8#68	BOVINE	1991	New Zealand: NORTH CANT.
AgR299	BOVINE	2010	New Zealand: WESTCOAST
AgR247	BOVINE	2002	New Zealand: WESTCOAST
12754_7#7	BOVINE	2001	New Zealand: HAWKES BAY
N36	BOVINE	2013	New Zealand: TARANAKI
12754_8#25	POSSUM	1993	New Zealand: BLENHEIM
12754_8#13	BOVINE	1993	New Zealand: BLENHEIM
12754_8#35	FERRET	1998	New Zealand: SOUTHLAND
AgR294	POSSUM	1992	New Zealand: WESTCOAST
AgR264	POSSUM	1989	New Zealand: WESTCOAST
AgR246	BOVINE	2008	New Zealand: WESTCOAST
12754_8#8	POSSUM	1985	New Zealand: OTAGO
12754_7#20	BOVINE	2006	New Zealand: TAUPO
AgR273	BOVINE	2007	New Zealand: WESTCOAST
12754_8#95	BOVINE	2004	New Zealand: NORTH CANT.
12754_8#10	FERRET	1993	New Zealand: OTAGO
12754_8#72	BOVINE	2005	New Zealand: KAIKOURA
12754_8#17	BOVINE	1992	New Zealand: NORTH CANT.
12754_7#52	FERRET	1996	New Zealand: MANAWATU
12754_8#22	POSSUM	1983	New Zealand: KING COUNTRY
AgR210	POSSUM	1984	New Zealand: WESTCOAST
12754_7#76	BOVINE	1997	New Zealand: NORTH OTAGO
12754_7#29	BOVINE	2002	New Zealand: HAWKES BAY
AgR265	BOVINE	2004	New Zealand: WESTCOAST
12754_7#47	FERRET	1999	New Zealand: ROTORUA
12754_8#64	FERRET	2008	New Zealand: MARLBOROUGH
AgR315	BOVINE	2003	New Zealand: MARLBOROUGH
12754_7#6	POSSUM	2000	New Zealand: TAUPO
12754_8#88	BOVINE	1993	New Zealand: CANTERBURY
12754_8#67	BOVINE	1999	New Zealand: KAIKOURA
12754_7#95	POSSUM	1999	New Zealand: NORTH OTAGO
12754_8#27	PORCINE	1982	New Zealand: KAIKOURA
N27	BOVINE	2008	New Zealand: TARANAKI
12754_8#54	POSSUM	1989	New Zealand: NORTH OTAGO
12754_8#93	BOVINE	2004	New Zealand: NORTH CANT.
12754_8#76	BOVINE	1999	New Zealand: CANTERBURY
AgR206	PORCINE	1988	New Zealand: WESTCOAST
12754_8#84	BOVINE	2004	New Zealand: HAWKES BAY
12754_8#61	FERRET	2003	New Zealand: CANTERBURY
12754_7#69	BOVINE	2007	New Zealand: WAIKATO
12754_7#89	BOVINE	2006	New Zealand: MANAWATU
12754_8#50	BOVINE	2004	New Zealand: KAIKOURA
N37	BOVINE	2013	New Zealand: TARANAKI
12754_7#80	BOVINE	2008	New Zealand: MANAWATU
12754_7#18	FERRET	2004	New Zealand: TAUPO
12754_7#42	POSSUM	1988	New Zealand: WANGANUI
12754_7#66	POSSUM	1999	New Zealand: OTAGO
12754_8#90	POSSUM	1996	New Zealand: NORTH CANT.
AgR200	POSSUM	1985	New Zealand: WESTCOAST
12755_8#17	BOVINE	2009	New Zealand: CANTERBURY
N11	BOVINE	2009	New Zealand: TARANAKI
12754_7#24	BOVINE	1992	New Zealand: WANGANUI
AgR235	BOVINE	1998	New Zealand: WESTCOAST
12754_8#30	BOVINE	1998	New Zealand: SOUTHLAND
12754_7#2	BOVINE	1993	New Zealand: KING COUNTRY
